user_id,country,transaction_velocity_score,verification_match_rate,country_risk_score,is_pep,risk_score,risk_tier,outcome,timestamp,funnel_stage_reached,tto_minutes
U00056,USA,31.79,24.22,33.99,False,45.87,Low,flagged_risky,2025-04-16,activated,1.4
U00057,India,3.26,72.95,43.93,False,26.66,Low,legitimate,2025-03-08,activated,4.3
U00058,Germany,29.88,81.73,11.91,False,19.21,Low,legitimate,2025-03-09,activated,6.5
U00059,Switzerland,81.84,58.59,22.31,False,45.9,Low,legitimate,2025-06-02,document_uploaded,
U00060,UAE,17.13,61.63,43.43,True,34.02,High,flagged_risky,2025-02-07,activated,55.0
U00061,USA,23.11,81.12,17.75,False,19.69,Low,legitimate,2025-03-16,activated,4.5
U00062,India,22.55,66.93,32.06,False,29.51,Low,legitimate,2025-05-01,document_uploaded,
U00063,Brazil,59.52,82.83,53.24,False,44.3,Low,flagged_risky,2025-01-11,activated,3.5
U00064,India,25.28,94.22,42.29,False,26.23,Low,flagged_risky,2025-05-02,activated,2.8
U00065,India,33.12,50.97,38.13,False,39.9,Low,legitimate,2025-05-30,activated,4.8
U00066,India,60.45,88.36,30.89,True,33.98,High,legitimate,2025-03-21,activated,23.5
U00067,UK,55.79,76.16,16.17,False,30.35,Low,legitimate,2025-04-15,verification_complete,
U00068,Switzerland,35.14,81.08,7.37,False,19.17,Low,legitimate,2025-03-29,activated,3.5
U00069,USA,12.07,92.54,6.0,False,8.26,Low,legitimate,2025-04-30,activated,4.0
U00070,Germany,6.21,77.09,0.0,True,8.73,High,flagged_risky,2025-01-10,activated,46.3
U00071,USA,57.99,89.67,23.09,False,29.73,Low,legitimate,2025-04-22,activated,5.7
U00072,Nigeria,28.48,91.05,100.0,False,51.23,Medium,legitimate,2025-03-24,activated,19.3
U00073,Singapore,37.98,74.55,11.85,False,23.77,Low,legitimate,2025-01-07,activated,3.6
U00074,Switzerland,100.0,77.84,3.7,False,38.13,Low,legitimate,2025-05-25,activated,3.6
U00075,Singapore,56.52,59.22,21.77,False,37.9,Low,legitimate,2025-01-28,signup_started,
U00076,Singapore,75.78,55.81,5.56,False,38.21,Low,legitimate,2025-04-17,activated,6.9
U00077,UAE,34.34,65.06,47.94,False,39.96,Low,legitimate,2025-06-03,activated,2.4
U00078,India,49.29,80.32,34.43,False,34.46,Low,legitimate,2025-06-15,activated,5.3
U00079,Brazil,48.93,53.04,49.02,False,48.38,Low,legitimate,2025-04-24,activated,4.7
U00080,UAE,20.74,84.08,48.63,False,30.45,Low,legitimate,2025-05-09,activated,5.8
U00081,USA,63.72,92.04,13.84,False,27.04,Low,legitimate,2025-04-16,activated,4.8
U00082,Brazil,18.6,73.16,56.97,False,36.42,Low,legitimate,2025-05-20,activated,4.0
U00083,Germany,55.03,62.11,61.6,False,52.51,Medium,legitimate,2025-06-25,document_uploaded,
U00084,Switzerland,43.16,82.93,10.65,False,22.33,Low,legitimate,2025-03-24,selfie_uploaded,
U00085,Switzerland,31.48,76.82,16.3,False,22.92,Low,legitimate,2025-03-16,activated,4.9
U00086,UAE,26.66,87.07,47.94,False,31.05,Low,legitimate,2025-02-01,activated,5.7
U00087,USA,14.84,90.33,35.25,False,21.45,Low,legitimate,2025-06-26,activated,4.1
U00088,Germany,18.05,89.16,5.13,True,10.72,High,flagged_risky,2025-06-14,activated,48.0
U00089,USA,31.88,69.96,5.59,False,20.81,Low,legitimate,2025-05-08,document_uploaded,
U00090,Germany,20.74,65.77,3.05,False,17.71,Low,legitimate,2025-04-29,activated,4.5
U00091,UAE,38.81,23.03,47.94,False,53.91,Medium,legitimate,2025-02-06,activated,13.3
U00092,USA,41.68,52.23,22.48,False,35.83,Low,legitimate,2025-06-13,document_uploaded,
U00093,UK,25.08,87.01,15.92,False,17.79,Low,legitimate,2025-01-11,signup_started,
U00094,UK,5.62,51.85,4.89,True,18.09,High,legitimate,2025-04-22,signup_started,
U00095,India,100.0,84.17,44.9,False,52.71,Medium,legitimate,2025-02-15,activated,13.9
U00096,UK,6.46,79.21,3.98,False,9.76,Low,legitimate,2025-03-23,activated,2.5
U00097,Switzerland,83.57,66.83,18.43,False,42.39,Low,legitimate,2025-01-18,activated,2.7
U00098,Switzerland,16.9,97.62,33.72,False,19.27,Low,legitimate,2025-01-25,activated,3.3
U00099,Cayman Islands,21.63,86.01,85.3,False,44.8,Low,flagged_risky,2025-03-09,verification_complete,
U00100,Russia,78.42,81.37,83.25,False,62.42,Medium,flagged_risky,2025-03-13,activated,19.4
U00101,UAE,46.11,83.49,37.56,False,33.81,Low,legitimate,2025-06-08,document_uploaded,
U00102,Singapore,10.38,74.73,0.0,False,10.69,Low,legitimate,2025-04-18,verification_complete,
U00103,Cayman Islands,10.18,74.29,100.0,False,50.77,Medium,flagged_risky,2025-01-06,activated,20.4
U00104,Brazil,41.65,41.5,38.16,False,45.31,Low,flagged_risky,2025-06-17,selfie_uploaded,
U00105,UAE,14.18,86.33,28.98,False,19.95,Low,legitimate,2025-04-20,activated,1.7
U00106,USA,47.57,55.78,33.5,False,40.94,Low,legitimate,2025-05-30,activated,2.6
U00107,Singapore,50.85,91.69,12.46,False,22.73,Low,legitimate,2025-06-16,activated,4.7
U00108,Switzerland,18.39,71.16,11.42,False,18.74,Low,legitimate,2025-04-03,activated,4.3
U00109,Russia,22.54,69.06,75.22,False,46.13,Low,legitimate,2025-02-02,activated,5.2
U00110,USA,42.58,82.23,16.44,False,24.68,Low,legitimate,2025-03-22,activated,2.1
U00111,Germany,17.75,75.95,20.68,False,20.81,Low,legitimate,2025-05-04,activated,3.4
U00112,UK,35.59,73.14,14.71,False,24.62,Low,legitimate,2025-01-06,activated,3.6
U00113,India,100.0,56.92,42.78,True,60.03,High,flagged_risky,2025-06-20,activated,57.7
U00114,Germany,43.97,69.38,10.24,False,26.47,Low,legitimate,2025-03-05,activated,4.0
U00115,Nigeria,25.35,75.06,66.92,False,41.85,Low,legitimate,2025-04-29,activated,4.6
U00116,UAE,100.0,74.92,29.34,False,49.26,Low,legitimate,2025-06-26,activated,3.9
U00117,UAE,58.14,21.01,24.2,True,50.82,High,legitimate,2025-06-05,activated,77.6
U00118,USA,14.47,63.84,15.65,False,21.45,Low,legitimate,2025-05-14,details_entered,
U00119,India,16.84,68.38,38.51,False,29.94,Low,flagged_risky,2025-02-23,selfie_uploaded,
U00120,India,7.26,41.25,26.42,False,30.37,Low,flagged_risky,2025-04-05,activated,4.1
U00121,India,42.05,62.09,37.69,False,39.06,Low,flagged_risky,2025-04-01,activated,5.0
U00122,Switzerland,4.58,42.51,8.48,False,22.02,Low,legitimate,2025-06-05,activated,4.7
U00123,USA,100.0,70.63,0.0,False,38.81,Low,legitimate,2025-01-08,activated,3.5
U00124,Switzerland,27.66,92.98,0.0,False,10.4,Low,legitimate,2025-01-05,document_uploaded,
U00125,USA,60.5,90.76,21.67,False,29.59,Low,flagged_risky,2025-01-22,activated,2.1
U00126,UK,25.84,90.07,18.48,False,18.12,Low,legitimate,2025-06-22,activated,4.0
U00127,Germany,41.55,70.01,1.62,False,22.11,Low,legitimate,2025-04-08,activated,2.2
U00128,Switzerland,30.43,75.54,9.43,False,20.24,Low,legitimate,2025-05-06,activated,4.6
U00129,India,34.87,92.84,47.2,False,31.49,Low,legitimate,2025-01-18,activated,2.7
U00130,Germany,72.99,70.98,18.99,False,38.2,Low,legitimate,2025-01-03,activated,4.2
U00131,Russia,96.09,78.5,77.14,False,66.13,Medium,flagged_risky,2025-04-28,activated,19.7
U00132,India,91.4,0.0,33.79,False,70.94,Medium,flagged_risky,2025-05-07,activated,18.4
U00133,UK,100.0,84.87,9.34,False,38.27,Low,legitimate,2025-03-18,activated,3.2
U00134,India,19.34,63.46,42.21,False,33.65,Low,legitimate,2025-01-15,document_uploaded,
U00135,Switzerland,44.35,86.66,9.76,False,21.21,Low,legitimate,2025-03-30,activated,5.4
U00136,Cayman Islands,19.7,69.76,87.66,False,50.05,Medium,flagged_risky,2025-04-26,document_uploaded,
U00137,USA,71.06,90.97,19.19,False,31.7,Low,legitimate,2025-02-08,activated,4.0
U00138,Brazil,15.07,58.02,55.37,False,39.26,Low,flagged_risky,2025-02-24,activated,3.3
U00139,Switzerland,73.81,49.54,8.85,False,40.82,Low,legitimate,2025-05-15,activated,5.2
U00140,USA,38.88,71.16,25.06,False,30.34,Low,legitimate,2025-02-08,activated,4.1
U00141,USA,31.7,86.36,25.84,False,23.94,Low,legitimate,2025-01-18,activated,3.1
U00142,Russia,34.37,63.99,70.76,False,49.42,Low,legitimate,2025-04-24,activated,4.0
U00143,India,12.88,76.97,21.73,False,19.46,Low,legitimate,2025-01-05,activated,3.7
U00144,USA,13.85,60.87,75.89,False,46.25,Low,legitimate,2025-03-20,selfie_uploaded,
U00145,Singapore,39.36,85.23,12.31,False,21.16,Low,legitimate,2025-04-13,activated,3.9
U00146,UK,39.18,90.08,0.0,False,14.73,Low,legitimate,2025-01-12,activated,2.3
U00147,India,20.41,73.8,31.58,False,26.61,Low,legitimate,2025-04-28,activated,4.6
U00148,USA,27.44,51.5,24.95,False,32.76,Low,legitimate,2025-05-29,activated,6.1
U00149,Switzerland,46.91,75.0,5.48,False,23.77,Low,legitimate,2025-06-25,activated,5.4
U00150,Brazil,17.67,87.95,43.39,False,26.27,Low,legitimate,2025-02-17,activated,2.7
U00151,Nigeria,6.42,60.77,82.61,False,46.74,Low,legitimate,2025-02-28,document_uploaded,
U00152,Germany,86.15,84.73,2.57,True,31.46,High,flagged_risky,2025-04-22,activated,54.5
U00153,India,41.3,90.28,30.82,False,27.63,Low,flagged_risky,2025-04-18,activated,4.0
U00154,Switzerland,23.38,28.14,9.9,False,32.53,Low,legitimate,2025-04-20,activated,4.5
U00155,UAE,19.65,19.26,45.51,False,48.32,Low,legitimate,2025-02-26,document_uploaded,
U00156,Singapore,17.53,65.61,14.47,False,21.36,Low,legitimate,2025-01-11,activated,2.9
U00157,India,70.88,89.7,46.2,False,42.84,Low,legitimate,2025-01-05,activated,5.1
U00158,UAE,11.03,78.8,43.79,False,27.19,Low,legitimate,2025-06-29,activated,2.7
U00159,Brazil,44.27,74.02,52.4,False,42.04,Low,legitimate,2025-03-15,selfie_uploaded,
U00160,Switzerland,44.24,86.25,5.67,False,19.66,Low,legitimate,2025-03-22,activated,2.6
U00161,Russia,56.18,87.56,78.56,False,52.01,Medium,legitimate,2025-04-23,activated,21.3
U00162,Singapore,25.13,92.24,10.97,False,14.25,Low,legitimate,2025-02-06,activated,4.1
U00163,Switzerland,81.5,78.8,9.94,False,34.78,Low,legitimate,2025-03-10,activated,5.1
U00164,India,57.29,60.58,44.95,False,47.0,Low,flagged_risky,2025-03-20,activated,3.1
U00165,UK,24.49,89.6,20.0,False,18.47,Low,legitimate,2025-01-18,activated,2.5
U00166,Brazil,18.92,73.83,48.4,False,32.89,Low,legitimate,2025-04-19,activated,3.5
U00167,Brazil,30.49,87.35,40.72,False,29.23,Low,legitimate,2025-02-04,document_uploaded,
U00168,UK,23.86,66.05,15.61,False,23.59,Low,legitimate,2025-01-01,activated,4.3
U00169,Cayman Islands,16.49,65.03,81.75,False,48.14,Low,legitimate,2025-04-22,activated,2.0
U00170,Singapore,35.47,61.96,11.74,False,26.75,Low,legitimate,2025-02-24,activated,4.6
U00171,USA,27.57,81.74,37.86,False,28.89,Low,legitimate,2025-05-10,activated,2.9
U00172,Singapore,94.05,74.76,67.59,False,62.82,Medium,flagged_risky,2025-04-07,activated,14.5
U00173,Russia,23.83,84.06,81.8,False,44.65,Low,legitimate,2025-01-06,document_uploaded,
U00174,Germany,18.78,85.3,21.62,False,18.69,Low,legitimate,2025-05-06,activated,1.4
U00175,Switzerland,33.85,68.6,8.88,False,23.13,Low,legitimate,2025-01-08,activated,4.4
U00176,USA,40.4,67.12,39.04,False,37.6,Low,flagged_risky,2025-02-26,activated,4.4
U00177,Iran,42.57,75.18,92.6,False,57.26,Medium,flagged_risky,2025-05-04,activated,13.6
U00178,Nigeria,42.28,85.9,72.92,False,46.08,Low,flagged_risky,2025-03-14,activated,3.5
U00179,UAE,34.68,94.49,34.81,False,25.98,Low,legitimate,2025-03-11,activated,5.5
U00180,Nigeria,32.9,56.26,66.84,False,49.73,Low,legitimate,2025-02-09,activated,6.4
U00181,Nigeria,51.04,96.78,72.24,False,45.17,Low,legitimate,2025-03-21,activated,5.3
U00182,USA,15.27,86.83,25.62,False,18.78,Low,legitimate,2025-02-22,activated,6.3
U00183,UK,18.89,61.71,17.87,False,24.3,Low,legitimate,2025-06-20,activated,3.2
U00184,Brazil,8.61,68.92,59.33,False,35.64,Low,legitimate,2025-05-04,activated,2.1
U00185,UAE,15.48,60.51,41.15,False,32.95,Low,legitimate,2025-06-13,activated,3.9
U00186,UK,100.0,74.05,12.01,False,42.59,Low,flagged_risky,2025-03-02,activated,5.0
U00187,Switzerland,49.61,91.01,32.34,False,30.51,Low,legitimate,2025-06-21,activated,1.8
U00188,UAE,100.0,91.22,45.55,False,50.85,Medium,flagged_risky,2025-02-20,activated,13.0
U00189,Singapore,86.95,47.34,3.52,False,43.29,Low,legitimate,2025-02-25,activated,3.0
U00190,Russia,49.89,0.0,71.75,False,73.67,Medium,flagged_risky,2025-02-23,verification_complete,
U00191,Singapore,37.47,65.61,1.52,False,22.16,Low,legitimate,2025-04-17,selfie_uploaded,
U00192,Germany,34.32,68.92,20.43,False,27.79,Low,legitimate,2025-04-21,details_entered,
U00193,Brazil,4.27,84.47,44.72,False,23.83,Low,legitimate,2025-01-12,activated,4.2
U00194,Germany,31.64,42.44,13.15,False,32.02,Low,legitimate,2025-04-11,activated,2.6
U00195,Germany,21.62,80.17,11.43,False,17.01,Low,legitimate,2025-06-21,activated,3.5
U00196,India,16.06,95.89,44.58,False,23.88,Low,flagged_risky,2025-03-15,activated,2.5
U00197,Nigeria,44.64,98.36,62.38,False,38.84,Low,legitimate,2025-05-06,activated,3.8
U00198,Germany,28.93,85.78,2.32,False,13.87,Low,legitimate,2025-04-24,activated,3.0
U00199,UK,35.83,51.53,17.02,False,32.1,Low,legitimate,2025-06-26,activated,4.8
U00200,Brazil,14.14,68.62,53.41,False,35.02,Low,legitimate,2025-04-26,activated,4.0
U00201,Cayman Islands,58.92,64.67,84.99,False,62.27,Medium,legitimate,2025-03-26,activated,16.8
U00202,USA,23.75,77.19,10.71,False,18.25,Low,legitimate,2025-01-03,selfie_uploaded,
U00203,Germany,100.0,95.95,18.1,False,38.45,Low,legitimate,2025-05-25,activated,4.5
U00204,Switzerland,25.3,79.76,1.31,False,14.18,Low,legitimate,2025-03-03,activated,3.6
U00205,Singapore,3.41,70.65,5.31,False,11.95,Low,legitimate,2025-06-16,activated,3.3
U00206,Germany,45.87,31.02,3.5,False,35.86,Low,legitimate,2025-02-13,activated,2.6
U00207,UAE,30.34,89.61,53.71,False,33.7,Low,legitimate,2025-03-20,activated,3.9
U00208,Germany,8.03,81.95,17.7,False,14.9,Low,legitimate,2025-05-30,activated,4.4
U00209,USA,12.69,71.23,23.44,False,21.81,Low,legitimate,2025-01-28,activated,1.7
U00210,UAE,60.06,59.47,53.22,False,51.47,Medium,legitimate,2025-02-19,verification_complete,
U00211,India,8.43,46.48,63.31,False,43.91,Low,legitimate,2025-05-23,activated,3.4
U00212,Germany,23.27,65.83,0.0,False,17.23,Low,legitimate,2025-02-27,activated,2.7
U00213,Brazil,100.0,81.96,41.35,False,51.96,Medium,legitimate,2025-06-22,activated,18.2
U00214,UAE,46.68,90.13,36.45,False,31.55,Low,legitimate,2025-04-07,activated,4.2
U00215,UAE,54.68,51.15,34.34,False,44.79,Low,flagged_risky,2025-05-29,activated,3.9
U00216,Germany,27.1,90.34,2.3,False,11.95,Low,legitimate,2025-04-09,activated,4.7
U00217,Germany,7.35,72.05,9.3,False,14.31,Low,legitimate,2025-01-09,document_uploaded,
U00218,Russia,38.29,52.65,67.05,False,52.51,Medium,legitimate,2025-05-26,selfie_uploaded,
U00219,UK,13.48,65.44,18.02,False,21.62,Low,legitimate,2025-03-17,activated,2.8
U00220,UK,12.36,91.67,15.47,False,12.39,Low,legitimate,2025-03-11,activated,4.3
U00221,USA,35.25,67.09,22.33,False,29.38,Low,legitimate,2025-05-13,activated,4.1
U00222,UAE,14.32,21.93,46.57,False,46.35,Low,legitimate,2025-02-20,activated,2.6
U00223,Cayman Islands,32.42,86.21,87.43,False,48.83,Low,legitimate,2025-03-19,activated,3.8
U00224,Singapore,19.4,43.18,6.64,True,25.52,High,flagged_risky,2025-04-20,activated,54.4
U00225,Russia,31.62,0.0,97.09,False,78.32,High,flagged_risky,2025-04-17,document_uploaded,
U00226,Switzerland,22.12,64.43,10.11,False,21.35,Low,legitimate,2025-05-12,activated,4.4
U00227,India,32.25,88.1,21.24,False,21.74,Low,legitimate,2025-01-15,document_uploaded,
U00228,India,100.0,79.33,28.98,False,47.79,Low,legitimate,2025-06-28,activated,4.9
U00229,Switzerland,55.5,88.39,0.0,False,20.13,Low,legitimate,2025-04-20,activated,4.6
U00230,Germany,29.71,69.48,12.16,False,22.93,Low,legitimate,2025-04-22,activated,3.1
U00231,USA,74.08,64.68,16.9,False,39.58,Low,legitimate,2025-06-08,selfie_uploaded,
U00232,Cayman Islands,43.46,80.41,77.78,False,50.03,Medium,legitimate,2025-03-30,activated,14.5
U00233,India,70.81,71.85,56.1,False,52.13,Medium,flagged_risky,2025-01-06,activated,10.1
U00234,Russia,9.36,68.49,82.94,False,45.44,Low,flagged_risky,2025-01-24,activated,4.2
U00235,Brazil,14.46,91.41,54.53,False,28.73,Low,legitimate,2025-06-20,activated,5.4
U00236,USA,37.97,77.83,9.62,False,21.89,Low,legitimate,2025-06-27,activated,5.7
U00237,Brazil,75.1,84.78,39.01,False,42.7,Low,flagged_risky,2025-01-16,activated,2.7
U00238,Switzerland,32.31,82.06,61.56,False,39.7,Low,legitimate,2025-05-04,activated,4.9
U00239,Switzerland,48.36,92.22,9.56,False,20.66,Low,flagged_risky,2025-04-29,activated,4.1
U00240,Brazil,95.41,76.52,31.29,False,48.18,Low,flagged_risky,2025-01-30,activated,1.1
U00241,Brazil,59.06,42.86,46.38,False,53.41,Medium,legitimate,2025-05-22,activated,16.2
U00242,Singapore,58.0,90.92,10.13,False,24.17,Low,legitimate,2025-03-24,activated,3.5
U00243,India,15.05,55.9,36.06,False,32.17,Low,legitimate,2025-02-11,activated,5.5
U00244,India,3.57,94.77,30.68,False,14.91,Low,legitimate,2025-04-11,activated,3.0
U00245,Nigeria,79.68,50.85,65.14,False,64.71,Medium,legitimate,2025-06-12,signup_started,
U00246,India,13.45,89.99,36.41,False,21.6,Low,legitimate,2025-02-09,activated,3.9
U00247,USA,34.08,72.09,18.82,False,26.12,Low,legitimate,2025-04-22,activated,2.3
U00248,UK,33.77,96.71,20.44,False,19.29,Low,legitimate,2025-05-12,document_uploaded,
U00249,USA,27.89,73.41,27.73,False,27.43,Low,flagged_risky,2025-04-23,activated,5.8
U00250,India,44.61,75.56,35.35,False,34.86,Low,legitimate,2025-04-28,activated,3.8
U00251,Nigeria,100.0,90.15,65.89,False,59.31,Medium,legitimate,2025-05-11,activated,22.9
U00252,USA,27.44,74.35,21.94,False,24.7,Low,flagged_risky,2025-02-12,selfie_uploaded,
U00253,Singapore,39.09,90.27,15.5,False,20.84,Low,legitimate,2025-01-19,activated,3.5
U00254,Singapore,32.3,97.35,6.09,False,12.92,Low,legitimate,2025-06-28,activated,2.5
U00255,UAE,20.6,47.33,49.11,False,41.63,Low,legitimate,2025-02-27,activated,2.6
U00256,Brazil,48.66,87.2,56.82,False,41.16,Low,legitimate,2025-06-20,activated,5.7
U00257,Switzerland,26.43,52.56,19.63,False,30.01,Low,legitimate,2025-02-18,activated,4.2
U00258,Switzerland,17.25,71.84,24.0,False,23.22,Low,legitimate,2025-02-17,activated,1.9
U00259,India,18.32,0.0,30.2,False,47.58,Low,legitimate,2025-01-05,details_entered,
U00260,Germany,60.47,34.12,12.13,False,42.75,Low,legitimate,2025-03-21,selfie_uploaded,
U00261,Brazil,47.85,78.36,48.1,False,40.09,Low,flagged_risky,2025-06-20,activated,3.0
U00262,UK,22.43,19.8,14.12,False,36.44,Low,legitimate,2025-06-11,activated,4.1
U00263,Germany,44.11,48.86,6.16,False,31.04,Low,legitimate,2025-02-24,activated,7.0
U00264,Russia,32.58,82.24,64.63,False,40.95,Low,flagged_risky,2025-03-15,activated,5.0
U00265,Germany,39.56,48.93,12.83,False,32.32,Low,legitimate,2025-05-01,selfie_uploaded,
U00266,Singapore,20.17,77.61,3.08,False,14.0,Low,legitimate,2025-06-21,activated,4.0
U00267,Germany,13.82,78.49,12.77,False,15.71,Low,legitimate,2025-04-19,activated,5.1
U00268,Switzerland,26.32,76.53,0.85,False,15.28,Low,legitimate,2025-02-06,activated,5.7
U00269,Switzerland,15.92,79.6,0.0,False,10.9,Low,legitimate,2025-03-06,activated,3.7
U00270,Switzerland,14.95,92.78,10.11,False,10.7,Low,legitimate,2025-05-11,activated,3.7
U00271,Germany,9.88,63.85,13.36,False,19.15,Low,legitimate,2025-01-05,activated,3.0
U00272,Switzerland,3.6,93.52,13.21,False,8.31,Low,legitimate,2025-04-18,document_uploaded,
U00273,India,22.74,58.31,57.67,False,42.4,Low,legitimate,2025-05-19,activated,5.2
U00274,UAE,67.99,88.69,44.5,False,41.59,Low,legitimate,2025-03-04,activated,1.7
U00275,UK,57.26,77.03,71.45,False,52.65,Medium,legitimate,2025-04-08,document_uploaded,
U00276,UK,90.38,54.13,5.3,False,43.0,Low,legitimate,2025-05-10,activated,2.5
U00277,USA,14.41,41.38,6.42,False,24.47,Low,legitimate,2025-04-18,activated,4.2
U00278,Nigeria,50.8,86.93,84.25,False,52.86,Medium,flagged_risky,2025-01-05,activated,11.3
U00279,Nigeria,29.61,74.09,61.69,False,41.33,Low,flagged_risky,2025-04-16,details_entered,
U00280,Switzerland,18.35,73.85,0.0,False,13.35,Low,legitimate,2025-02-11,activated,5.3
U00281,Germany,62.97,81.58,11.65,False,29.08,Low,legitimate,2025-05-14,verification_complete,
U00282,Singapore,29.83,16.99,9.19,False,37.53,Low,legitimate,2025-02-17,activated,3.9
